,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Date,Accident.Category,injury.rating,damage.rating,State
65699,20081126X30503,Accident,WPR09LA046,2008-11-26,MONTEREY CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N2383R,PIPER,PA-28-180,No,1.0,Reciprocating,091,,Personal,0.0,1.0,1.0,0.0,VMC,,The pilot's inadequate fuel system management and inflight planning that led to a loss of engine power due to fuel exhaustion.  Contributing to the accident was the pilot's failure to use the landing checklist.,25-09-2020,2008-11-26,Serious,2,2,CA
65702,20081201X60951,Accident,CEN09CA078,2008-11-26,WAUKESHA WI,UNITED STATES,Non-Fatal,Substantial,Airplane,N833SP,CESSNA,172S,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain aircraft control during takeoff and his failure to ensure that the elevator trim was properly set before takeoff.  Contributing to the accident was the pilot's lack of autopilot system knowledge.,25-09-2020,2008-11-26,Minor,1,2,WI
65705,20081202X64455,Accident,ERA09CA077,2008-11-27,FREDERICK MD,UNITED STATES,Non-Fatal,Substantial,Airplane,N35540,CESSNA,172I,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's delayed decision to abort the landing.,25-09-2020,2008-11-27,Minor,1,2,MD
65708,20081215X41926,Accident,CEN09CA089,2008-11-28,GILLESPIE IL,UNITED STATES,Non-Fatal,Substantial,Airplane,N44LL,CESSNA,182,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's decision to take off with a known obstacle on the runway.,25-09-2020,2008-11-28,Minor,1,2,IL
65709,20081201X44318,Accident,WPR09CA051,2008-11-29,ROCK RIVER WY,UNITED STATES,Non-Fatal,Substantial,Airplane,N6693A,BEECH,B60,No,2.0,Reciprocating,091,,Executive/corporate,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain clearance from a power line due to the lack of forward visibility because of an ice-covered windshield. Contributing to the accident was the flight's encounter with icing weather conditions.,25-09-2020,2008-11-29,Minor,1,2,WY
65711,20081201X91520,Accident,WPR09CA053,2008-11-29,SEDONA AZ,UNITED STATES,Non-Fatal,Substantial,Airplane,N98774,CESSNA,172,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's improper flare and inadequate recovery from a bounced landing.,25-09-2020,2008-11-29,Minor,1,2,AZ
65712,20081201X60125,Accident,CEN09CA077,2008-11-30,PLEASANTON TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N4659H,PIPER,PA-15,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to adequately secure the airplane while hand-starting the engine.,25-09-2020,2008-11-30,Minor,1,2,TX
65713,20081201X70139,Accident,ERA09FA074,2008-11-30,HOMOSASSA SPGS. FL,UNITED STATES,Fatal,Destroyed,Airplane,N945T,BEECH,35-B33,No,1.0,Reciprocating,091,,Personal,2.0,0.0,0.0,0.0,IMC,,The pilots continued flight into known adverse weather conditions.,25-09-2020,2008-11-30,Fatal,3,3,FL
65714,20081201X42806,Accident,WPR09LA050,2008-12-01,COALINGA CA,UNITED STATES,Fatal,Substantial,Airplane,N3058Y,BEECH,A36,No,1.0,Reciprocating,091,,Personal,1.0,2.0,0.0,0.0,IMC,,The loss of engine power while in climb to cruise flight for undetermined reasons.,25-09-2020,2008-12-01,Fatal,3,2,CA
65715,20090326X64745,Accident,ERA09CA217,2008-12-01,MIDDLETOWN DE,UNITED STATES,Non-Fatal,Substantial,Airplane,N276,PIPER,PA-32R-300,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to maintain aircraft control while landing in gusty conditions.,25-09-2020,2008-12-01,Minor,1,2,DE
65716,20081209X33530,Accident,WPR09CA055,2008-12-02,TRUCKEE CA,UNITED STATES,Non-Fatal,Substantial,Airplane,N172MN,CESSNA,172RG,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot misjudged the landing flare resulting in a hard landing.,25-09-2020,2008-12-02,Minor,1,2,CA
65720,20081205X14806,Accident,CEN09CA081,2008-12-05,ALTON IL,UNITED STATES,Non-Fatal,Substantial,Airplane,N185KS,CESSNA,A185F,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to compensate for the crosswind during landing, resulting in loss of control of the aircraft and the subsequent nose-over of the airplane. Contributing to the accident was the crosswind.",25-09-2020,2008-12-05,Minor,1,2,IL
65721,20081208X70402,Accident,WPR09CA054,2008-12-05,GOODYEAR AZ,UNITED STATES,Non-Fatal,Substantial,Airplane,N268ML,PIPER,PA-28-161,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,The failure of the student pilot to maintain directional control during takeoff.,25-09-2020,2008-12-05,Minor,1,2,AZ
65723,20081215X52220,Accident,CEN09CA092,2008-12-05,AUXVASSE MO,UNITED STATES,Non-Fatal,Substantial,Airplane,N1521Q,CESSNA,150,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,"the pilot's improper engine recovery procedures after a power-off stall which resulted in a loss of engine power.  Contributing factors were the pilot's improper off-field landing procedures, and the lack of suitable terrain for the forced landing.",25-09-2020,2008-12-05,Minor,1,2,MO
65725,20081208X81624,Accident,ERA09FA080,2008-12-06,FT. LAUDERDALE FL,UNITED STATES,Fatal,Substantial,Airplane,N118TP,PIPER,PA-44-180,No,2.0,Reciprocating,091,,Instructional,4.0,0.0,0.0,0.0,VMC,,The failure of both pilots to see and avoid the other aircraft.,25-09-2020,2008-12-06,Fatal,3,2,FL
65726,20081209X62205,Accident,CEN09FA083,2008-12-06,KALKASKA MI,UNITED STATES,Fatal,Destroyed,Airplane,N6053B,CESSNA,206H,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,IMC,,The pilot's failure to maintain clearance from trees and terrain during the instrument-flight-rules flight. Contributing to the accident was the pilot's failure to comply with instrument flight procedures and his lack of recent instrument flight experience.,25-09-2020,2008-12-06,Fatal,3,3,MI
65728,20081211X80243,Accident,ERA09CA086,2008-12-06,LINDEN NJ,UNITED STATES,Non-Fatal,Substantial,Airplane,N2125J,PIPER,PA-28-161,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The unknown pilot's failure to maintain adequate clearance from the taxiway sign.,25-09-2020,2008-12-06,Minor,1,2,NJ
65730,20081208X52321,Accident,ERA09CA082,2008-12-07,HOMESTEAD FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N9639F,CESSNA,208,No,1.0,Turbo Prop,091,,Skydiving,0.0,1.0,0.0,12.0,VMC,,"The inadvertent deployment of the reserve parachute, resulting in the skydiver being prematurely pulled from the airplane and striking the horizontal stabilizer.",25-09-2020,2008-12-07,Serious,2,2,FL
65734,20081218X34903,Accident,ERA09CA095,2008-12-08,PANACEA FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N60410,BEECH,C23,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,A loss of engine power due to a failure of the mixture control cable housing attachment.,25-09-2020,2008-12-08,Minor,1,2,FL
65736,20081210X30024,Accident,WPR09LA056,2008-12-10,LOMPOC CA,UNITED STATES,Fatal,Substantial,Airplane,N6461E,CESSNA,172,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain clearance from the power line. Contributing to the accident was the pilot's lack of recent experience.,25-09-2020,2008-12-10,Fatal,3,2,CA
65739,20081231X15122,Incident,ERA09IA115,2008-12-11,FORT LAUDERDALE FL,UNITED STATES,Non-Fatal,Minor,Airplane,N522FA,CESSNA,402C,No,2.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,4.0,VMC,,The airplane manufacturer's inadequate inspection procedure resulting in undetected fatigue cracking of the main landing gear barrel of the upper barrel and trunnion assembly.,25-09-2020,2008-12-11,Minor,1,1,FL
65742,20081218X54746,Accident,ERA09LA096,2008-12-12,NEW BERN NC,UNITED STATES,Non-Fatal,Substantial,Airplane,N38558,PIPER,PA-28-235,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,A loss of engine power for undetermined reasons.,25-09-2020,2008-12-12,Minor,1,2,NC
65743,20081218X63237,Incident,CEN09IA096,2008-12-12,FORT WORTH TX,UNITED STATES,Non-Fatal,Minor,Airplane,N5495B,CESSNA,182,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,Collision with a hidden obstruction while taxiing through a grass field following a forced landing. Contributing to the accident was a loss of engine power due to the pilot's failure to turn on the carburetor heat.,25-09-2020,2008-12-12,Minor,1,1,TX
65747,20081214X12133,Accident,CEN09FA087,2008-12-14,ROCKSPRINGS TX,UNITED STATES,Fatal,Substantial,Airplane,N43KM,BEECH,C90,No,2.0,Turbo Prop,091,,Business,1.0,0.0,0.0,0.0,VMC,,"The pilot's failure to properly configure the pressurization controls, resulting in his impairment and subsequent incapacitation due to hypoxia.",25-09-2020,2008-12-14,Fatal,3,2,TX
65755,20081217X01229,Accident,WPR09CA058,2008-12-17,PRESTON ID,UNITED STATES,Non-Fatal,Substantial,Airplane,N4008N,CESSNA,140,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's misjudged flare and improper recovery from a bounced landing, which resulted in a loss of control and subsequent nose over.",25-09-2020,2008-12-17,Minor,1,2,ID
65756,20081217X04130,Accident,CEN09LA095,2008-12-17,MADISON WI,UNITED STATES,Non-Fatal,Substantial,Airplane,N4504B,CESSNA,402,No,2.0,Reciprocating,135,NSCH,,0.0,0.0,0.0,1.0,IMC,,"The pilots improper fuel management, which resulted in a loss of engine power during an instrument landing due to fuel exhaustion.",25-09-2020,2008-12-17,Minor,1,2,WI
65758,20081219X72119,Accident,WPR09CA059,2008-12-17,SHERIDAN WY,UNITED STATES,Non-Fatal,Substantial,Airplane,N9619T,CESSNA,210,No,1.0,Reciprocating,091,,Business,0.0,0.0,0.0,1.0,VMC,,"Maintenance personnel's failure to reinstall the left front pilot's seat correctly, which resulted in the pilot's loss of control and subsequent impact with a taxiway sign.",25-09-2020,2008-12-17,Minor,1,2,WY
65759,20081230X93753,Accident,CEN09CA109,2008-12-17,ELY MN,UNITED STATES,Non-Fatal,Substantial,Airplane,N845D,PIPER,PA28,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during landing. Contributing to the accident were the reduced left main landing gear wheel rotation for undetermined reasons and the snow-covered runway.,25-09-2020,2008-12-17,Minor,1,2,MN
65761,20081217X21653,Accident,ERA09FA092,2008-12-18,GOODLAND FL,UNITED STATES,Fatal,Destroyed,Airplane,N967SP,CESSNA,172S,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,VMC,,The pilot's failure to maintain aircraft control due to spatial disorientation. Contributing to the accident was the night light conditions.,25-09-2020,2008-12-18,Fatal,3,3,FL
65763,20081218X94024,Accident,ERA09FA093,2008-12-18,LOUISVILLE KY,UNITED STATES,Fatal,Substantial,Airplane,N7472N,BEECH,36,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,IMC,,The pilots continued operation of the aircraft with known deficiencies.  Contributing to this accident was the improper sealing of the engine case during overhaul.,25-09-2020,2008-12-18,Fatal,3,2,KY
65765,20081219X04502,Accident,WPR09FA060,2008-12-19,KAPOLEI HI,UNITED STATES,Non-Fatal,Substantial,Airplane,N6182J,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,3.0,0.0,VMC,,"The partial loss of engine power during the initial climb due to the failure of both pilots to use carburetor heat during a long descent for landing in carburetor icing conditions, and, the flight instructor's inadequate supervision of the flight.",25-09-2020,2008-12-19,Minor,1,2,HI
65766,20081222X25530,Accident,ERA09CA102,2008-12-19,FOLKSTON GA,UNITED STATES,Non-Fatal,Substantial,Airplane,N699G,PIPER,PA-34-200,No,2.0,Reciprocating,091,,Instructional,0.0,1.0,0.0,2.0,VMC,,The student's improper flare and the flight instructor's delayed remedial action.,25-09-2020,2008-12-19,Serious,2,2,GA
65767,20081223X12815,Accident,CEN09FA099,2008-12-19,NORTH CANTON OH,UNITED STATES,Fatal,Destroyed,Airplane,N9299N,PIPER,PA-32R,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,IMC,,"The pilots inappropriate control inputs as a result of spatial disorientation, which led to an aerodynamic stall and loss of control. Contributing to the accident were the pilot's decision to conduct flight into known icing conditions, ice accumulation that reduced the airplane's aerodynamic performance, and the pilot's failure to initially intercept and establish the airplane on the proper approach course.",25-09-2020,2008-12-19,Fatal,3,3,OH
65768,20081220X85100,Accident,WPR09FA061,2008-12-20,WARNER SPRINGS CA,UNITED STATES,Fatal,Substantial,Airplane,N1587L,BEECH,V35,No,1.0,Reciprocating,091,,Personal,2.0,0.0,0.0,0.0,VMC,,The failure of the pilot to maintain clearance from terrain during a low altitude maneuver.,25-09-2020,2008-12-20,Fatal,3,2,CA
65771,20081223X62929,Accident,ANC09CA014,2008-12-20,WILLOW AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N4131Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"A partial loss of engine power during takeoff, which prevented the airplane from reaching takeoff airspeed, resulting in an aborted takeoff, and an on-ground collision with a tree.",25-09-2020,2008-12-20,Minor,1,2,AK
65774,20081221X13714,Accident,CEN09FA097,2008-12-21,STONEWALL CO,UNITED STATES,Fatal,Destroyed,Airplane,C-GGBT,BEECH,58P,No,2.0,Reciprocating,091,,Personal,2.0,0.0,0.0,0.0,VMC,,The pilot's inadvertent flight into mountain wave activity resulting in a loss of control and subsequent impact with mountainous terrain.,25-09-2020,2008-12-21,Fatal,3,3,CO
65775,20081221X14648,Accident,DCA09MA021,2008-12-21,DENVER CO,UNITED STATES,Non-Fatal,Substantial,Airplane,N18611,BOEING,737-524,No,2.0,,121,SCHD,,0.0,41.0,6.0,68.0,VMC,,"The captains cessation of right rudder input, which was needed to maintain directional control of the airplane, about 4 seconds before the excursion, when the airplane encountered a strong and gusty crosswind that exceeded the captains training and experience. Contributing to the accident were the following factors: 1) an air traffic control system that did not require or facilitate the dissemination of key, available wind information to the air traffic controllers and pilots; and 2) inadequate crosswind training in the airline industry due to deficient simulator wind gust modeling.",30-04-2021,2008-12-21,Serious,2,2,CO
65776,20081222X00340,Accident,ERA09FA100,2008-12-21,LINDEN NJ,UNITED STATES,Non-Fatal,Substantial,Airplane,N2109W,BEECH,C23,No,1.0,Reciprocating,091,,Personal,0.0,0.0,2.0,0.0,VMC,,A partial loss of engine power for undetermined reasons.,25-09-2020,2008-12-21,Minor,1,2,NJ
65777,20081222X40756,Accident,ERA09CA103,2008-12-21,CORNING NY,UNITED STATES,Non-Fatal,Substantial,Airplane,N6621D,CESSNA,172,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,The student pilot's failure to maintain directional control during landing. Contributing to the accident were the gusty wind conditions and the flight instructor's delayed remedial action.,25-09-2020,2008-12-21,Minor,1,2,NY
65778,20081223X70445,Accident,WPR09CA063,2008-12-21,GREAT FALLS MT,UNITED STATES,Non-Fatal,Substantial,Airplane,C-FIWA,CESSNA,180C,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during the landing roll.,25-09-2020,2008-12-21,Minor,1,2,MT
65780,20081222X25717,Accident,CEN09FA098,2008-12-22,HAYDEN CO,UNITED STATES,Fatal,Destroyed,Airplane,N46SB,PIPER,PA-46,No,1.0,Reciprocating,091,,Personal,2.0,0.0,0.0,0.0,IMC,,"The pilot's loss of situational awareness while maneuvering in adverse weather conditions, resulting in spatial disorientation.",25-09-2020,2008-12-22,Fatal,3,3,CO
65782,20081224X34401,Accident,WPR09CA066,2008-12-22,IDAHO FALLS ID,UNITED STATES,Non-Fatal,Substantial,Airplane,N379P,PIPER,PA-46-350P,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's failure to maintain directional control during the landing roll. Contributing to the accident were  the icy runway conditions and a snow bank.,25-09-2020,2008-12-22,Minor,1,2,ID
65783,20081224X95803,Accident,CEN09LA100,2008-12-23,LEWISTOWN MO,UNITED STATES,Non-Fatal,Substantial,Airplane,N20NL,BEECH,390,No,2.0,Turbo Fan,091,,Executive/corporate,0.0,0.0,0.0,4.0,VMC,,The pilot's loss of directional control during landing on an ice-contaminated runway.,25-09-2020,2008-12-23,Minor,1,2,MO
65785,20090102X60836,Accident,CEN09LA114,2008-12-23,ROCKFORD IL,UNITED STATES,Non-Fatal,Substantial,Airplane,N486EV,BOEING,747-212B,No,4.0,Turbo Fan,121,NSCH,,0.0,0.0,0.0,3.0,VMC,,The ground crew's failure to maintain clearance from the light pole while directing the airplane to parking.,25-09-2020,2008-12-23,Minor,1,2,IL
65789,20081224X64659,Accident,CEN09CA101,2008-12-24,SANTA FE NM,UNITED STATES,Non-Fatal,Substantial,Airplane,N732DK,CESSNA,T210L,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's decision to land in gusty crosswinds, leading to his inability to maintain directional control. Contributing to the accident were the crosswinds.",25-09-2020,2008-12-24,Minor,1,2,NM
65790,20081226X14812,Accident,CEN09CA102,2008-12-24,BATESVILLE AR,UNITED STATES,Non-Fatal,Substantial,Airplane,N8775R,BEECH,95-B55,No,2.0,Reciprocating,091,,Personal,0.0,1.0,1.0,0.0,VMC,,The pilot's improper decision to land with a tailwind which resulted in the overrun landing.  Factors contributing to the accident include the culvert and the tailwind.,25-09-2020,2008-12-24,Serious,2,2,AR
65791,20090102X14015,Accident,CEN09CA112,2008-12-24,HIGHMORE SD,UNITED STATES,Non-Fatal,Substantial,Airplane,N89418,CESSNA,140,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during the flare while landing in deep snow.,25-09-2020,2008-12-24,Minor,1,2,SD
65796,20081228X24007,Accident,WPR09CA067,2008-12-27,ROCK SPRINGS WY,UNITED STATES,Non-Fatal,Substantial,Airplane,N890FE,CESSNA,208B,No,1.0,Turbo Prop,135,NSCH,Unknown,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain control of the airplane while taxiing. Contributing to the accident were the gusty winds.,25-09-2020,2008-12-27,Minor,1,2,WY
65797,20081228X52120,Accident,ERA09LA108,2008-12-27,FORT MYERS FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N7765N,BEECH,E18S,No,2.0,Reciprocating,091,,Positioning,0.0,0.0,1.0,0.0,VMC,,The failure of the right propeller to go to the feathered position for undetermined reasons following a total loss of right engine power during initial climb due to fuel starvation as a result of the pilot's improper fuel planning.,25-09-2020,2008-12-27,Minor,1,2,FL
65800,20081229X70551,Accident,ERA09CA110,2008-12-27,MORRISTOWN NJ,UNITED STATES,Non-Fatal,Substantial,Airplane,N178AF,CESSNA,172R,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,IMC,,The flight instructor's failure to execute a missed approach when insufficient runway remained for landing. Contributing to the accident were the low ceiling and visibility conditions.,25-09-2020,2008-12-27,Minor,1,2,NJ
65802,20081228X25156,Accident,WPR09FA068,2008-12-28,SEATTLE WA,UNITED STATES,Non-Fatal,Substantial,Airplane,N585NW,BOEING,757-351,No,2.0,Turbo Fan,121,SCHD,,0.0,0.0,0.0,352.0,VMC,,The failure of the tug operator and wing walker of this airplane to maintain clearance with the other aircraft during the pushback process in dark night. Also causal was the ramp controller's misinterpretation of the other airplane's gate location and her improper clearance for both airplanes to simultaneously push back from nearly opposing gates.,25-09-2020,2008-12-28,Minor,1,2,WA
65803,20081229X21045,Accident,CEN09LA105,2008-12-28,SANTO DOMINGO PUEBLO NM,UNITED STATES,Non-Fatal,Substantial,Airplane,N3064M,PIPER,PA-28R-201,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,4.0,VMC,,A loss of engine power due a loss of oil pressure resulting in heat distress and mechanical failure of the engine. The reason for the loss of oil pressure was not determined.,25-09-2020,2008-12-28,Minor,1,2,NM
65804,20081229X53331,Accident,CEN09LA107,2008-12-28,PALENSTINE TX,UNITED STATES,Non-Fatal,Substantial,Airplane,N8212F,CESSNA,150F,No,1.0,Reciprocating,091,,Personal,0.0,0.0,2.0,0.0,VMC,,The failure of the pilot to ensure security of the cockpit switches before rotating the propeller.,25-09-2020,2008-12-28,Minor,1,2,TX
65807,20081230X44507,Accident,ANC09CA016,2008-12-28,GIRDWOOD AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N453SP,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,"The flight instructor's lack of action to correct a high and fast landing approach which resulted in a long landing, and subsequent collision with a snow berm at the end of the runway. Contributing to the accident was the student pilot's improper approach.",25-09-2020,2008-12-28,Minor,1,2,AK
65812,20090313X04158,Accident,CEN09CA208,2008-12-29,VALPARAISO IN,UNITED STATES,Non-Fatal,Substantial,Airplane,N3331R,PIPER,PA-28-180,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's improper flare during landing, resulting in a bounced landing.",25-09-2020,2008-12-29,Minor,1,2,IN
65813,20081231X85347,Accident,ERA09CA117,2008-12-30,CHATTANOOGA TN,UNITED STATES,Non-Fatal,Substantial,Airplane,N400SC,BEECH,G35,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to see and avoid the marked helicopter dolly. Contributing to the accident were the dark night conditions.,25-09-2020,2008-12-30,Minor,1,2,TN
65817,20081231X43053,Accident,ERA09FA116,2008-12-31,PITTSTOWN NJ,UNITED STATES,Fatal,Substantial,Airplane,N95156,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Instructional,1.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain an adequate clearance from trees during the night landing approach and the flight instructor's inadequate remedial action.,25-09-2020,2008-12-31,Fatal,3,2,NJ
65820,20090105X33112,Accident,ANC09LA017,2008-12-31,HOONAH AK,UNITED STATES,Non-Fatal,Substantial,Airplane,N39AK,CESSNA,207A,No,1.0,Reciprocating,135,SCHD,,0.0,0.0,0.0,2.0,VMC,,"The pilot's failure to ensure that the aft cargo door was properly latched and locked prior to departure, which resulted in an in-flight opening of the aft cargo door and subsequent damage to the airplane.",25-09-2020,2008-12-31,Minor,1,2,AK
65821,20090105X35128,Accident,ERA09CA127,2008-12-31,PORT ORANGE FL,UNITED STATES,Non-Fatal,Substantial,Airplane,N37MD,CESSNA,180K,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,2.0,VMC,,The pilot's inadequate compensation for the wind conditions during landing. Contributing to the accident were the gusting wind conditions and the pilot's lack of experience in the make and model airplane.,25-09-2020,2008-12-31,Minor,1,2,FL
65822,20090107X21822,Accident,CEN09CA121,2008-12-31,GREENE IA,UNITED STATES,Non-Fatal,Substantial,Airplane,N899CB,CESSNA,150M,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,"A loss of engine power due to undetermined reasons.  Contributing to the accident was the rough, snow-covered terrain.",25-09-2020,2008-12-31,Minor,1,2,IA
65823,20090108X00036,Accident,CEN09CA123,2008-12-31,FORT COLLINS CO,UNITED STATES,Non-Fatal,Substantial,Airplane,N732YK,CESSNA,T210M,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,3.0,VMC,,A total loss of engine power due to fuel starvation as a result of the pilot's failure to select the fullest tank before landing.,25-09-2020,2008-12-31,Minor,1,2,CO
65826,20090101X22627,Accident,ERA09CA119,2009-01-01,LANCASTER NY,UNITED STATES,Non-Fatal,Substantial,Airplane,N2228L,CESSNA,172SP,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control during takeoff. Contributing to the accident was the student pilot's lack of solo flight experience and the snow bank located off the left side of the runway.,25-09-2020,2009-01-01,Minor,1,2,NY
65828,20090105X01036,Incident,ENG09IA002,2009-01-02,ATLANTA GA,UNITED STATES,Non-Fatal,Minor,Airplane,N864DA,BOEING,777,No,2.0,Turbo Fan,121,SCHD,,0.0,0.0,0.0,257.0,,,The fan blade fractured due to a fatigue crack that was the result of the combination of the breakdown of the fan blade lubrication system and residual fatigue life usage following the last overhaul of the fan blade.  Contributing to the fracture was the inadequate lubrication schedule established by the engine manufacturer that was not reflective of the operators use of the engine.,25-09-2020,2009-01-02,Minor,1,1,GA
65833,20090103X93911,Accident,ERA09LA123,2009-01-03,POWDER SPRINGS TN,UNITED STATES,Fatal,Substantial,Airplane,N43631,PIPER,PA-28-151,No,1.0,Reciprocating,091,,Personal,2.0,0.0,0.0,0.0,IMC,,"The non-instrument rated pilot's decision to continue under visual flight rules into an area of instrument meteorological conditions, which resulted in an in-flight collision with terrain.",25-09-2020,2009-01-03,Fatal,3,2,TN
65835,20090106X53332,Accident,CEN09CA120,2009-01-03,BRAINERD MN,UNITED STATES,Non-Fatal,Substantial,Airplane,N70DD,BEECH,58,No,2.0,Reciprocating,135,NSCH,,0.0,0.0,0.0,2.0,VMC,,The pilot's improper flare which resulted in a hard landing.  Contributing to the accident was the unforcasted freezing rain that obscured the windscreen and hindered the pilot's ability to judge the height of the airplane above the runway.,25-09-2020,2009-01-03,Minor,1,2,MN
65837,20090105X05515,Accident,ERA09LA124,2009-01-04,INDIANA PA,UNITED STATES,Fatal,Substantial,Airplane,N5212W,PIPER,PA-28-160,No,1.0,Reciprocating,091,,Personal,1.0,0.0,2.0,0.0,IMC,,"The pilot's decision to attempt VFR flight in IMC conditions, resulting in a collision with trees during a go-around.",25-09-2020,2009-01-04,Fatal,3,2,PA
65838,20090106X42651,Accident,ERA09LA130,2009-01-04,WILMINGTON NC,UNITED STATES,Non-Fatal,Substantial,Airplane,N815MA,CESSNA,550,No,2.0,Turbo Fan,091,,Personal,0.0,0.0,0.0,7.0,IMC,,A loss of engine power due to the crew's inadequate in-flight fuel monitoring.,25-09-2020,2009-01-04,Minor,1,2,NC
65839,20090105X15328,Accident,WPR09CA073,2009-01-05,LONG BEACH CA,UNITED STATES,Non-Fatal,Destroyed,Airplane,N45969,CESSNA,152,No,1.0,Reciprocating,091,,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failuire to maintain directional control during takeoff.,25-09-2020,2009-01-05,Minor,1,3,CA
65843,20090106X51907,Accident,ERA09LA131,2009-01-06,PENSACOLA FL,UNITED STATES,Fatal,Substantial,Airplane,N7160Z,PIPER,PA-25-235,No,1.0,Reciprocating,091,,Personal,1.0,0.0,0.0,0.0,VMC,,"The pilots failure to maintain airspeed following a total loss of engine power during a low-level approach, which resulted in an aerodynamic stall. Contributing to the accident was fuel exhaustion due to the pilots inadequate preflight planning.",25-09-2020,2009-01-06,Fatal,3,2,FL
65844,20090107X33011,Accident,CEN09LA122,2009-01-06,THREE RIVERS MI,UNITED STATES,Non-Fatal,Substantial,Airplane,N92WT,BEECH,A36TC,No,1.0,Reciprocating,091,,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's decision to continue the flight into an area with conditions that were conducive to icing and the loss of engine power due to induction icing.,25-09-2020,2009-01-06,Minor,1,2,MI
